Pix2Pix,2016-11-21
StackGAN,2016-12-10
CycleGAN,2017-03-30
Cascaded Refinement Networks,2017-07-28
ProGAN,2017-10-27
VQ-VAE,2017-11-02
StarGAN,2017-11-24
StarGAN V1,2017-11-25
AttGAN,2017-11-29
SN-PatchGAN,2018-06-10
BigGAN,2018-09-28
IMLE,2018-11-29
StyleGAN1,2018-12-12
RelGAN,2018-12-21
GauGAN,2019-03-18
VQ-VAE-2,2019-06-02
StyleGAN2,2019-12-03
"StyleGAN2 (SFHQ)",2019-12-04
StarGAN V2,2019-12-05
DDPM,2020-06-19
CIPS,2020-11-27
VQGAN,2020-12-17
DALL-E V1,2021-01-05
GANformer,2021-03-01
ADM,2021-05-11
CogView,2021-05-26
StyleGAN3,2021-06-23
DALL-E Mini,2021-07-02
LaMa,2021-09-15
FaceSynthetics,2021-09-30
ProjectedGAN,2021-11-01
Palette,2021-11-10
GANformer2,2021-11-17
NÜWA,2021-11-24
VQ-Diffusion,2021-11-29
GauGAN2 (e GauGAN 360),2021-12-09
Eg3D,2021-12-15
Denoising Diffusion GAN,2021-12-16
Glide,2021-12-20
Latent Diffusion,2021-12-21
Midjourney,2022-02-01
NUWA-LIP,2022-02-10
ZITS,2022-03-02
MAT,2022-03-29
DALL-E 2,2022-04-07
MidJourney V2,2022-04-12
VQGAN-CLIP,2022-04-18
CogView2,2022-04-28
Imagen V1,2022-05-23
"Diffusion GAN (ProjectedGAN)",2022-06-05
"Diffusion GAN (StyleGAN2)",2022-06-06
NUWA-Infinity,2022-07-20
MidJourney V3,2022-07-25
"Stable Diffusion",2022-08-18
"Stable Diffusion 1.1",2022-08-18
"Stable Diffusion 1.2",2022-08-18
"Stable Diffusion 1.3",2022-08-18
"Stable Diffusion 1.4",2022-08-22
ZITS++,2022-10-12
Stable Diffusion 1.5,2022-10-20
MidJourney V4,2022-11-05
Stable Diffusion 2.0,2022-11-24
InstructPix2Pix,2022-11-17
Stable Diffusion 2.1,2022-12-07
Wukong,2022-12-08
MidJourney V5,2023-03-15
Firefly 1,2023-03-21
NUWA-XL,2023-03-22
DeepFloyd IF,2023-04-26
MidJourney V5.1,2023-05-03
MidJourney V5.2,2023-06-23
Stable Diffusion XL 1.0,2023-07-26
DALL-E 3,2023-09-20
Latent Consistency Models,2023-10-06
Firefly 2,2023-10-10
Stable Diffusion XL Turbo,2023-11-28
MidJourney V6,2023-12-21
Imagen V2,2024-02-01
Stable Diffusion 3.0,2024-02-22
CogView3,2024-03-08
Firefly 3,2024-04-23
Imagen V3,2024-05-14
FLUX 1 Dev,2024-08-01
FLUX 1 Schnell,2024-08-02
